"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 08 20:49:16 UTC 2025","Sun Jun 08 20:49:17 UTC 2025","1100","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testRateLimiting","Verify API respects rate limiting",""
"passed","Sun Jun 08 20:49:15 UTC 2025","Sun Jun 08 20:49:15 UTC 2025","29","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderEdgeCases","Verify order creation with edge case values that should be accepted","Test verifies order creation with boundary/edge case values"
"passed","Sun Jun 08 20:49:13 UTC 2025","Sun Jun 08 20:49:13 UTC 2025","39","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testDeleteOrderWithInvalidIds","Verify DELETE /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when deleting orders with invalid IDs"
"passed","Sun Jun 08 20:49:15 UTC 2025","Sun Jun 08 20:49:15 UTC 2025","30","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderSuccess","Verify POST /store/order creates orders successfully with various valid data","Test verifies that orders can be placed successfully with different valid data combinations"
"passed","Sun Jun 08 20:49:15 UTC 2025","Sun Jun 08 20:49:15 UTC 2025","39","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testOrderValidationBehaviorDocumentation","Verify API validation behavior and document current acceptance criteria","Test documents what the API currently accepts vs rejects to identify validation gaps"
"failed","Sun Jun 08 20:49:13 UTC 2025","Sun Jun 08 20:49:13 UTC 2025","135","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testCompleteOrderLifecycle","Verify complete order lifecycle: create, retrieve, update status, delete","Validates the complete lifecycle of an order from creation to deletion, ensuring data integrity at each step"
"failed","Sun Jun 08 20:49:16 UTC 2025","Sun Jun 08 20:49:16 UTC 2025","24","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
"passed","Sun Jun 08 20:49:15 UTC 2025","Sun Jun 08 20:49:15 UTC 2025","30","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testOrderValidationBehaviorDocumentation","Verify API validation behavior and document current acceptance criteria","Test documents what the API currently accepts vs rejects to identify validation gaps"
"passed","Sun Jun 08 20:49:15 UTC 2025","Sun Jun 08 20:49:15 UTC 2025","29","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testOrderValidationBehaviorDocumentation","Verify API validation behavior and document current acceptance criteria","Test documents what the API currently accepts vs rejects to identify validation gaps"
"passed","Sun Jun 08 20:49:14 UTC 2025","Sun Jun 08 20:49:14 UTC 2025","30","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testGetOrderWithInvalidIds","Verify GET /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when requesting orders with invalid IDs"
"failed","Sun Jun 08 20:49:16 UTC 2025","Sun Jun 08 20:49:16 UTC 2025","28","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
"passed","Sun Jun 08 20:49:15 UTC 2025","Sun Jun 08 20:49:15 UTC 2025","36","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderSuccess","Verify POST /store/order creates orders successfully with various valid data","Test verifies that orders can be placed successfully with different valid data combinations"
"passed","Sun Jun 08 20:49:13 UTC 2025","Sun Jun 08 20:49:14 UTC 2025","34","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testGetOrderWithInvalidIds","Verify GET /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when requesting orders with invalid IDs"
"passed","Sun Jun 08 20:49:15 UTC 2025","Sun Jun 08 20:49:15 UTC 2025","34","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderEdgeCases","Verify order creation with edge case values that should be accepted","Test verifies order creation with boundary/edge case values"
"passed","Sun Jun 08 20:49:13 UTC 2025","Sun Jun 08 20:49:13 UTC 2025","36","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testDeleteOrderWithInvalidIds","Verify DELETE /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when deleting orders with invalid IDs"
"passed","Sun Jun 08 20:49:13 UTC 2025","Sun Jun 08 20:49:13 UTC 2025","48","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testDeleteOrderWithInvalidIds","Verify DELETE /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when deleting orders with invalid IDs"
"passed","Sun Jun 08 20:49:15 UTC 2025","Sun Jun 08 20:49:15 UTC 2025","32","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderSuccess","Verify POST /store/order creates orders successfully with various valid data","Test verifies that orders can be placed successfully with different valid data combinations"
"passed","Sun Jun 08 20:49:15 UTC 2025","Sun Jun 08 20:49:16 UTC 2025","31","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderSuccess","Verify POST /store/order creates orders successfully with various valid data","Test verifies that orders can be placed successfully with different valid data combinations"
"passed","Sun Jun 08 20:49:12 UTC 2025","Sun Jun 08 20:49:12 UTC 2025","142","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreInventoryTest","com.petstore.tests.store.StoreInventoryTest","testGetInventorySuccess","Verify GET /store/inventory returns valid response","Test verifies inventory endpoint returns valid response with expected structure"
"failed","Sun Jun 08 20:49:16 UTC 2025","Sun Jun 08 20:49:16 UTC 2025","29","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
"failed","Sun Jun 08 20:49:16 UTC 2025","Sun Jun 08 20:49:16 UTC 2025","26","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
"passed","Sun Jun 08 20:49:10 UTC 2025","Sun Jun 08 20:49:12 UTC 2025","1690","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreInventoryTest","com.petstore.tests.store.StoreInventoryTest","testGetInventoryResponseTime","Verify inventory response time is acceptable","Performance test to ensure inventory response time is within acceptable limits"
"passed","Sun Jun 08 20:49:13 UTC 2025","Sun Jun 08 20:49:13 UTC 2025","189","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreInventoryTest","com.petstore.tests.store.StoreInventoryTest","testInventoryDataConsistency","Verify inventory data consistency between multiple calls","Test verifies inventory data remains consistent across multiple requests"
"passed","Sun Jun 08 20:49:12 UTC 2025","Sun Jun 08 20:49:13 UTC 2025","803","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreInventoryTest","com.petstore.tests.store.StoreInventoryTest","testInventoryAfterOrderPlacement","Verify inventory after placing a new order","Test verifies inventory changes after placing a new order"
"passed","Sun Jun 08 20:49:14 UTC 2025","Sun Jun 08 20:49:14 UTC 2025","33","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testGetOrderWithInvalidIds","Verify GET /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when requesting orders with invalid IDs"
